source,target,method_id,scope,held_out_group,metric,point_estimate,bootstrap_median,ci_lower_95,ci_upper_95,ci_width,fixed_draw_count,valid_draw_count,invalid_draw_count,valid_draw_fraction,original_metric_status
a1_5,success,S6_termination_repetition_only,macro,,ap,0.5115987974378046,0.5533324589950497,0.4045489112508323,0.742989497459587,0.33844058620875467,10000,10000,0,1.0,ok
a1_5,success,S6_termination_repetition_only,macro,,f1,0.5830471611721612,0.6132541790406241,0.4721595461001176,0.7487349993394532,0.2765754532393356,10000,10000,0,1.0,ok
a1_5,success,S6_termination_repetition_only,macro,,ap_lift,0.21219403553304267,0.22712564596958898,0.13552666537128502,0.34694245279471553,0.2114157874234305,10000,10000,0,1.0,ok
a1_5,side_effect,S0_full13,macro,,ap,0.06044294222122107,0.07329580169328793,0.03647448759093447,0.14777992281276386,0.1113054352218294,10000,9855,145,0.9855,ok
a1_5,side_effect,S0_full13,macro,,f1,0.0698005698005698,0.07148407148407149,0.0,0.1531491397158563,0.1531491397158563,10000,9855,145,0.9855,ok
a1_5,side_effect,S0_full13,macro,,ap_lift,-0.009097287663836396,3.918638154990171e-05,-0.016386626055958118,0.03603112040644037,0.05241774646239848,10000,9855,145,0.9855,ok
a1_5,side_effect,S1_no_termination,macro,,ap,0.06062596950756938,0.07374080215157984,0.03839160555169327,0.1316863268384776,0.09329472128678434,10000,9855,145,0.9855,ok
a1_5,side_effect,S1_no_termination,macro,,f1,0.058956916099773236,0.05867182462927143,0.0,0.1622647920742294,0.1622647920742294,10000,9855,145,0.9855,ok
a1_5,side_effect,S1_no_termination,macro,,ap_lift,-0.008914260377488091,0.00015948963317384082,-0.018055684191195125,0.02442711953152346,0.042482803722718586,10000,9855,145,0.9855,ok
a1_5,side_effect,S2_no_repetition,macro,,ap,0.05521087867761232,0.06751547276637168,0.03381476139099978,0.1214790246994639,0.08766426330846411,10000,9855,145,0.9855,ok
a1_5,side_effect,S2_no_repetition,macro,,f1,0.013071895424836602,0.012820512820512822,0.0,0.047619047619047616,0.047619047619047616,10000,9855,145,0.9855,ok
a1_5,side_effect,S2_no_repetition,macro,,ap_lift,-0.014329351207445142,-0.006261832524122582,-0.0227115420073919,0.016647650720926582,0.03935919272831848,10000,9855,145,0.9855,ok
a1_5,side_effect,S3_no_activity_volume,macro,,ap,0.06642728799115236,0.08011201064466097,0.03793216649736667,0.17606145838142723,0.13812929188406056,10000,9855,145,0.9855,ok
a1_5,side_effect,S3_no_activity_volume,macro,,f1,0.031746031746031744,0.031746031746031744,0.0,0.08571428571428572,0.08571428571428572,10000,9855,145,0.9855,ok
a1_5,side_effect,S3_no_activity_volume,macro,,ap_lift,-0.003112941893905113,0.006999876762774025,-0.012838066453506233,0.06091534057263389,0.07375340702614012,10000,9855,145,0.9855,ok
a1_5,side_effect,S4_no_error,macro,,ap,0.06353303647331138,0.07774342572076329,0.038118702857654764,0.15126255288832277,0.11314385003066801,10000,9855,145,0.9855,ok
a1_5,side_effect,S4_no_error,macro,,f1,0.05252525252525253,0.05333333333333334,0.0,0.14219114219114218,0.14219114219114218,10000,9855,145,0.9855,ok
a1_5,side_effect,S4_no_error,macro,,ap_lift,-0.006007193411746087,0.0031702330414751442,-0.014123392514520723,0.045296676816089745,0.05942006933061047,10000,9855,145,0.9855,ok
a1_5,side_effect,S5_no_termination_or_repetition,macro,,ap,0.05726445798152822,0.07077914320535388,0.03508791660597715,0.13073056367846764,0.09564264707249048,10000,9855,145,0.9855,ok
a1_5,side_effect,S5_no_termination_or_repetition,macro,,f1,0.02150537634408602,0.02150537634408602,0.0,0.05128205128205129,0.05128205128205129,10000,9855,145,0.9855,ok
a1_5,side_effect,S5_no_termination_or_repetition,macro,,ap_lift,-0.012275771903529254,-0.003973075312691535,-0.021274544387523193,0.03140239776874514,0.052676942156268336,10000,9855,145,0.9855,ok
a1_5,side_effect,S6_termination_repetition_only,macro,,ap,0.061163415639594966,0.07244128056628056,0.03660764108368508,0.13012661222606386,0.09351897114237878,10000,9855,145,0.9855,ok
a1_5,side_effect,S6_termination_repetition_only,macro,,f1,0.018018018018018018,0.017543859649122806,0.0,0.06382978723404255,0.06382978723404255,10000,9855,145,0.9855,ok
a1_5,side_effect,S6_termination_repetition_only,macro,,ap_lift,-0.00837681424546251,-0.000874724712273775,-0.01541757763440212,0.01746235600954348,0.0328799336439456,10000,9855,145,0.9855,ok
a1_5,looping,S0_full13,macro,,ap,0.8508412981380737,0.8672714507268957,0.7683832580258226,0.9490305303446198,0.18064727231879718,10000,10000,0,1.0,ok
