target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
side_effect,visualwebarena,S1_no_termination,-0.006086070791953141,-0.05860805860805862,-0.006086070791953141,0.00018302728634830845,-0.010843653700796561,0.0047303081663959,-0.010131532172058304,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,webarena,S1_no_termination,0.0023408748978497596,0.02607709750566893,0.0023408748978497596,0.00018302728634830845,-0.010843653700796561,0.0047303081663959,-0.010131532172058304,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,workarena,S1_no_termination,0.004294277753148296,0.0,0.004294277753148296,0.00018302728634830845,-0.010843653700796561,0.0047303081663959,-0.010131532172058304,,1,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,assistantbench,S2_no_repetition,,,,-0.005232063543608743,-0.056728674375733194,-0.00022482833055961077,-0.042808051055473736,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,visualwebarena,S2_no_repetition,-0.011507936507936495,-0.15384615384615385,-0.011507936507936495,-0.005232063543608743,-0.056728674375733194,-0.00022482833055961077,-0.042808051055473736,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,webarena,S2_no_repetition,-0.002415022769015243,-0.05555555555555555,-0.002415022769015243,-0.005232063543608743,-0.056728674375733194,-0.00022482833055961077,-0.042808051055473736,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,workarena,S2_no_repetition,-0.0017732313538744958,0.0392156862745098,-0.0017732313538744958,-0.005232063543608743,-0.056728674375733194,-0.00022482833055961077,-0.042808051055473736,,3,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,assistantbench,S3_no_activity_volume,,,,0.005984345769931287,-0.038054538054538053,0.0011076829416584097,-0.0030321406913280807,,2,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,visualwebarena,S3_no_activity_volume,0.021428571428571436,-0.15384615384615385,0.021428571428571436,0.005984345769931287,-0.038054538054538053,0.0011076829416584097,-0.0030321406913280807,,2,3,0,not_assessable_nonpositive_s0_ap_lift
side_effect,webarena,S3_no_activity_volume,-0.0005671530284448167,0.03968253968253968,-0.0005671530284448167,0.005984345769931287,-0.038054538054538053,0.0011076829416584097,-0.0030321406913280807,,2,3,0,not_assessable_nonpositive_s0_ap_lift
