evidence_id,stage_id,target,protocol,method_or_variant,metric_or_estimand,point_estimate,ci_lower,ci_upper,valid_fraction,sample_size,positive_count,support_role,source_artifact,source_row_key,formal_commit,notes
E_A17_Q2_SUCCESS_MACRO_AP_DELTA,A1.7,success,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B3,macro_ap_delta_A_minus_B,0.1216682074007685,-0.013206087890835274,0.27161806219525897,1.0,192,58,primary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q2;target=success;scope=macro;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=difference_uncertain; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q2_SUCCESS_MACRO_F1_DELTA,A1.7,success,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B3,macro_f1_delta_A_minus_B,0.015098890360310313,-0.0893917185692832,0.13017750839668057,1.0,192,58,primary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q2;target=success;scope=macro;held_out_group=;metric=f1,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=difference_uncertain; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q3_SUCCESS_MACRO_AP_DELTA,A1.7,success,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B2,macro_ap_delta_A_minus_B,0.06471544330713214,-0.06118097479494056,0.16722559036571985,1.0,192,58,primary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q3;target=success;scope=macro;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=difference_uncertain; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q3_SUCCESS_MACRO_F1_DELTA,A1.7,success,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B2,macro_f1_delta_A_minus_B,-0.11026089676454964,-0.22389714915518763,-0.0008477254758334447,1.0,192,58,primary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q3;target=success;scope=macro;held_out_group=;metric=f1,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=stable_drop_for_A_vs_B; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_MACRO_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,macro_ap,0.14653246891260333,0.08109385549091432,0.4783518659526594,0.9855,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=macro;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_POOLED_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,pooled_ap,0.10023091746107538,0.036923866113667325,0.2292482000786438,0.9999,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=pooled;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_MACRO_AP_DELTA,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B3,macro_ap_delta_A_minus_B,0.0345912308011649,-0.18546373785856543,0.3247526329497741,0.9855,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=macro;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q5_LOOPING_MACRO_AP_DELTA,A1.7,looping,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr-B2,macro_ap_delta_A_minus_B,-0.05624023705325332,-0.1660885987912208,0.05484037981226786,1.0,196,92,secondary,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q5;target=looping;scope=macro;held_out_group=;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=difference_uncertain; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_DOMAIN_ASSISTANTBENCH_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,domain_ap,,,,0.0,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=domain;held_out_group=assistantbench;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_DOMAIN_VISUALWEBARENA_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,domain_ap,0.10317460317460317,0.045454545454545456,0.5,0.9056,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=domain;held_out_group=visualwebarena;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_DOMAIN_WEBARENA_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,domain_ap,0.11142280356320684,0.025,0.29554783401553286,0.9869,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=domain;held_out_group=webarena;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
E_A17_Q4_SIDE_EFFECT_DOMAIN_WORKARENA_AP,A1.7,side_effect,fixed A1.6 task-group bootstrap registry over B4 and frozen comparators,B4_dense_embedding_lr,domain_ap,0.225,0.08333333333333333,1.0,0.8814,195,12,diagnostic,artifacts/a1_7_bootstrap_primary_summary.csv,comparison_id=Q4;target=side_effect;scope=domain;held_out_group=workarena;metric=ap,e24066fa27c027c60e2ac35b8305ea3d4a585493,grade=support_diagnostic_only; reused frozen A1.6 draw registry byte-for-byte
