target,variant_id,held_out_group,held_out_size,task_group_count,positive_count,negative_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,false_positive_count,false_positive_rate,specificity,probability_mean,probability_median,probability_max
looping,S1_no_termination,assistantbench,24,6,11,13,0.4583333333333333,12,0.5,B2_C1p0_cw_balanced,0.35,5,ok,0.7880637039727949,0.8695652173913043,0.9020979020979021,0.8333333333333334,0.9090909090909091,0.8928571428571429,0.8776223776223776,0.7526178090063816,0.3297303706394616,2,0.15384615384615385,0.8461538461538461,0.5025375539035719,0.5414733496327456,0.9919746605267968
looping,S1_no_termination,visualwebarena,24,8,7,17,0.2916666666666667,9,0.375,B2_C0p1_cw_none,0.35,5,ok,0.9240362811791383,0.875,0.9663865546218487,0.7777777777777778,1.0,0.9459459459459459,0.9411764705882353,0.828416869579514,0.6323696145124715,2,0.11764705882352941,0.8823529411764706,0.31213758944491704,0.05719206608295752,0.9577249412831184
looping,S1_no_termination,webarena,88,22,37,51,0.42045454545454547,36,0.4090909090909091,B2_C10p0_cw_balanced,0.4,5,ok,0.9156286072787538,0.9315068493150684,0.9501854795972443,0.9444444444444444,0.918918918918919,0.9239130434782609,0.9398516163222046,0.8832206526430368,0.49517406182420837,2,0.0392156862745098,0.9607843137254902,0.389805608664655,0.09370910443857647,0.9986055668337608
looping,S1_no_termination,workarena,60,15,37,23,0.6166666666666667,45,0.75,B2_C0p1_cw_balanced,0.65,5,ok,0.771451800086687,0.9024390243902439,0.8025851938895416,0.8222222222222222,1.0,0.9585492227979274,0.8260869565217391,0.7322785563281031,0.15478513342002032,8,0.34782608695652173,0.6521739130434783,0.7851813688102289,0.9655425689188064,0.9941461397262245
success,S2_no_repetition,assistantbench,24,6,2,22,0.08333333333333333,20,0.8333333333333334,B2_C1p0_cw_balanced,0.3,5,ok,0.10427807486631016,0.18181818181818182,0.4318181818181819,0.1,1.0,0.35714285714285715,0.5909090909090909,0.13483997249264842,0.020944741532976832,18,0.8181818181818182,0.18181818181818177,0.5302567673556,0.6012122192342146,0.7745562894789212
success,S2_no_repetition,visualwebarena,24,8,12,12,0.5,15,0.625,B2_C10p0_cw_none,0.25,5,ok,0.7068214193214193,0.8888888888888888,0.8194444444444444,0.8,1.0,0.9523809523809523,0.875,0.7745966692414834,0.2068214193214193,3,0.25,0.75,0.4006871226879946,0.30694670801946855,0.9948171430902824
success,S2_no_repetition,webarena,84,22,25,59,0.2976190476190476,39,0.4642857142857143,B2_C1p0_cw_none,0.4,5,ok,0.40283057212872797,0.5625,0.6766101694915254,0.46153846153846156,0.72,0.6474820143884892,0.6820338983050847,0.33376417180634177,0.10521152450968035,21,0.3559322033898305,0.6440677966101696,0.36618754472279,0.33738191777039983,0.9205406317986163
success,S2_no_repetition,workarena,60,15,19,41,0.31666666666666665,9,0.15,B2_C10p0_cw_balanced,0.55,5,ok,0.8054751299844964,0.5714285714285714,0.8074454428754814,0.8888888888888888,0.42105263157894735,0.47058823529411764,0.6983311938382541,0.5167534774045314,0.4888084633178298,1,0.024390243902439025,0.975609756097561,0.22082057902391508,0.13305793952066514,0.8008230134899608
side_effect,S2_no_repetition,assistantbench,24,6,0,24,0.0,20,0.8333333333333334,B2_C0p1_cw_none,0.2,5,single_class_negative,,,,,,,,,,20,0.8333333333333334,0.16666666666666663,0.22895319411099213,0.2092752314356428,0.38705290438934997
side_effect,S2_no_repetition,visualwebarena,24,8,2,22,0.08333333333333333,11,0.4583333333333333,B2_C10p0_cw_balanced,0.55,5,ok,0.06944444444444445,0.0,0.11363636363636365,0.0,0.0,0.0,0.25,-0.2773500981126146,-0.013888888888888881,11,0.5,0.5,0.5819942097899151,0.4796003120746242,0.9823706548751858
