target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B2,4,B2_C10p0_cw_balanced,0.4,0.5,0.5714285714285714,0.4444444444444444,False
success,B2,4,B2_C10p0_cw_balanced,0.45,0.4,0.5,0.3333333333333333,False
success,B2,4,B2_C10p0_cw_balanced,0.5,0.4,0.5,0.3333333333333333,False
success,B2,4,B2_C10p0_cw_balanced,0.55,0.4,0.5,0.3333333333333333,False
success,B2,4,B2_C10p0_cw_balanced,0.6,0.46153846153846156,0.75,0.3333333333333333,False
success,B2,4,B2_C10p0_cw_balanced,0.65,0.46153846153846156,0.75,0.3333333333333333,False
success,B2,4,B2_C10p0_cw_balanced,0.7,0.3333333333333333,0.6666666666666666,0.2222222222222222,False
success,B2,4,B2_C10p0_cw_balanced,0.75,0.3333333333333333,0.6666666666666666,0.2222222222222222,False
success,B2,4,B2_C10p0_cw_balanced,0.8,0.3333333333333333,0.6666666666666666,0.2222222222222222,False
success,B2,4,B2_C10p0_cw_balanced,0.85,0.18181818181818182,0.5,0.1111111111111111,False
success,B2,4,B2_C10p0_cw_balanced,0.9,0.18181818181818182,0.5,0.1111111111111111,False
success,B2,4,B2_C10p0_cw_balanced,0.95,0.18181818181818182,0.5,0.1111111111111111,False
success,B2,5,B2_C10p0_cw_balanced,0.05,0.5128205128205128,0.3448275862068966,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.1,0.5555555555555556,0.38461538461538464,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.15,0.625,0.45454545454545453,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.2,0.7142857142857143,0.5555555555555556,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.25,0.7407407407407407,0.5882352941176471,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.3,0.7407407407407407,0.5882352941176471,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.35,0.7407407407407407,0.5882352941176471,1.0,False
success,B2,5,B2_C10p0_cw_balanced,0.4,0.6923076923076923,0.5625,0.9,False
success,B2,5,B2_C10p0_cw_balanced,0.45,0.64,0.5333333333333333,0.8,False
success,B2,5,B2_C10p0_cw_balanced,0.5,0.64,0.5333333333333333,0.8,False
success,B2,5,B2_C10p0_cw_balanced,0.55,0.64,0.5333333333333333,0.8,False
success,B2,5,B2_C10p0_cw_balanced,0.6,0.7619047619047619,0.7272727272727273,0.8,True
success,B2,5,B2_C10p0_cw_balanced,0.65,0.5555555555555556,0.625,0.5,False
success,B2,5,B2_C10p0_cw_balanced,0.7,0.5555555555555556,0.625,0.5,False
