target,held_out_group,variant_id,config_id,inner_n_splits,inner_oof_size,inner_oof_pr_auc,selected,tie_break_rank
success,webarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,108,0.6327267518808684,False,5
success,webarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,108,0.6357131984927709,False,6
success,workarena,S3_no_activity_volume,B2_C0p1_cw_none,5,132,0.39105130808519467,False,1
success,workarena,S3_no_activity_volume,B2_C1p0_cw_none,5,132,0.46281953501767575,False,2
success,workarena,S3_no_activity_volume,B2_C10p0_cw_none,5,132,0.4674645839351391,False,3
success,workarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,132,0.39889308489528286,False,4
success,workarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,132,0.4813969547816934,True,5
success,workarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,132,0.4647642318464835,False,6
side_effect,assistantbench,S3_no_activity_volume,B2_C0p1_cw_none,5,171,0.0985866419182783,False,1
side_effect,assistantbench,S3_no_activity_volume,B2_C1p0_cw_none,5,171,0.09963715800171244,False,2
side_effect,assistantbench,S3_no_activity_volume,B2_C10p0_cw_none,5,171,0.09902174075106407,False,3
side_effect,assistantbench,S3_no_activity_volume,B2_C0p1_cw_balanced,5,171,0.10426518531077349,True,4
side_effect,assistantbench,S3_no_activity_volume,B2_C1p0_cw_balanced,5,171,0.09807994506590191,False,5
side_effect,assistantbench,S3_no_activity_volume,B2_C10p0_cw_balanced,5,171,0.09920267946546964,False,6
side_effect,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_none,5,171,0.07883281776364398,False,1
side_effect,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_none,5,171,0.08300591774149196,False,2
side_effect,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_none,5,171,0.0877485274963522,False,3
side_effect,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,171,0.09773998798469433,False,4
side_effect,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,171,0.09972933803558541,True,5
side_effect,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,171,0.09438905640162452,False,6
side_effect,webarena,S3_no_activity_volume,B2_C0p1_cw_none,4,108,0.04365787485091545,False,1
side_effect,webarena,S3_no_activity_volume,B2_C1p0_cw_none,4,108,0.05305435305435305,False,2
side_effect,webarena,S3_no_activity_volume,B2_C10p0_cw_none,4,108,0.05399191412638739,False,3
side_effect,webarena,S3_no_activity_volume,B2_C0p1_cw_balanced,4,108,0.046153846153846156,False,4
side_effect,webarena,S3_no_activity_volume,B2_C1p0_cw_balanced,4,108,0.05694444444444444,False,5
side_effect,webarena,S3_no_activity_volume,B2_C10p0_cw_balanced,4,108,0.05779693486590038,True,6
side_effect,workarena,S3_no_activity_volume,B2_C0p1_cw_none,5,135,0.15398183449977143,False,1
side_effect,workarena,S3_no_activity_volume,B2_C1p0_cw_none,5,135,0.14268629832963461,False,2
side_effect,workarena,S3_no_activity_volume,B2_C10p0_cw_none,5,135,0.1345295743746202,False,3
side_effect,workarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,135,0.16625927560811282,True,4
side_effect,workarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,135,0.15765460633802422,False,5
side_effect,workarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,135,0.14450759256307277,False,6
looping,assistantbench,S3_no_activity_volume,B2_C0p1_cw_none,5,172,0.9160959795007897,True,1
looping,assistantbench,S3_no_activity_volume,B2_C1p0_cw_none,5,172,0.9082357293456538,False,2
looping,assistantbench,S3_no_activity_volume,B2_C10p0_cw_none,5,172,0.9005274956723455,False,3
looping,assistantbench,S3_no_activity_volume,B2_C0p1_cw_balanced,5,172,0.915686855972718,False,4
looping,assistantbench,S3_no_activity_volume,B2_C1p0_cw_balanced,5,172,0.9077488787209136,False,5
looping,assistantbench,S3_no_activity_volume,B2_C10p0_cw_balanced,5,172,0.8980467274557836,False,6
looping,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_none,5,172,0.8994887820109543,True,1
looping,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_none,5,172,0.8834000661353797,False,2
looping,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_none,5,172,0.8642768198345814,False,3
looping,visualwebarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,172,0.8992255542002825,False,4
looping,visualwebarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,172,0.8813503318395076,False,5
looping,visualwebarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,172,0.8581436002769149,False,6
looping,webarena,S3_no_activity_volume,B2_C0p1_cw_none,5,108,0.9184988228943674,False,1
looping,webarena,S3_no_activity_volume,B2_C1p0_cw_none,5,108,0.9123643301156779,False,2
looping,webarena,S3_no_activity_volume,B2_C10p0_cw_none,5,108,0.9048341138158715,False,3
looping,webarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,108,0.9187900023031937,True,4
looping,webarena,S3_no_activity_volume,B2_C1p0_cw_balanced,5,108,0.9131364256946043,False,5
looping,webarena,S3_no_activity_volume,B2_C10p0_cw_balanced,5,108,0.9045889332957042,False,6
looping,workarena,S3_no_activity_volume,B2_C0p1_cw_none,5,136,0.8596157048956323,True,1
looping,workarena,S3_no_activity_volume,B2_C1p0_cw_none,5,136,0.8276370746292189,False,2
looping,workarena,S3_no_activity_volume,B2_C10p0_cw_none,5,136,0.8137145683878011,False,3
looping,workarena,S3_no_activity_volume,B2_C0p1_cw_balanced,5,136,0.8575479103815469,False,4
